time (s)	time(hydraulic residence times)	pH probe (pH)	ANC_out	C_T	[H^+] concentration (M)	alpha 2	ANC_out closed	alpha 0	alpha 1	ANC_out open
0	0	7.914949894	0.00184	0.00184	1.21633E-08	0.004006751	0.00180476	0.023598941	0.972394308	0.000416256
1	0.001202935	8.006445885	0.001836586	0.001837788	9.85267E-09	0.004963978	0.00181266	0.019183953	0.975852069	0.000514862
2	0.00240587	7.947925568	0.001833176	0.001835579	1.12739E-08	0.00432893	0.001804193	0.0219043	0.97376677	0.000449383
3	0.003608805	8.018240929	0.001829769	0.001833372	9.58869E-09	0.005102568	0.001809518	0.018676993	0.976220438	0.000529183
4	0.004811741	7.955364227	0.001826367	0.001831168	1.10824E-08	0.004405024	0.001800684	0.021538716	0.97405626	0.000457217
5	0.006014676	8.019760132	0.00182297	0.001828966	9.5552E-09	0.005120691	0.001805327	0.018612655	0.976266654	0.000531057
6	0.007217611	7.957479954	0.001819576	0.001826767	1.10286E-08	0.004426904	0.001796592	0.021435825	0.974137271	0.00045947
7	0.008420546	8.030428886	0.001816186	0.001824571	9.32333E-09	0.005249745	0.001802066	0.018166884	0.976583371	0.000544405
8	0.009623481	7.974302769	0.0018128	0.001822378	1.06096E-08	0.004604694	0.001794097	0.020634562	0.974760743	0.000477787
9	0.010826416	8.021292687	0.001809419	0.001820187	9.52154E-09	0.005139037	0.001796821	0.01854797	0.976312993	0.000532954
10	0.012029352	7.984574318	0.001806041	0.001817999	1.03616E-08	0.004716654	0.001790878	0.020159759	0.975123587	0.000489332
11	0.013232287	8.015816689	0.001802668	0.001815813	9.64236E-09	0.005073779	0.001791952	0.01878011	0.976146111	0.000526207
12	0.014435222	7.967956066	0.001799298	0.00181363	1.07657E-08	0.004536816	0.001784811	0.020933366	0.974529818	0.000470792
13	0.015638157	7.986626625	0.001795933	0.00181145	1.03127E-08	0.00473934	0.001784645	0.020066176	0.975194484	0.000491672
14	0.016841092	7.966842175	0.001792572	0.001809272	1.07934E-08	0.004525004	0.001780405	0.020986241	0.974488755	0.000469575
15	0.018044027	7.982887745	0.001789215	0.001807097	1.04019E-08	0.004698089	0.001779967	0.020236984	0.975064926	0.000487417
16	0.019246963	7.951987267	0.001785861	0.001804924	1.1169E-08	0.004370319	0.001774523	0.02170394	0.973925741	0.000453644
17	0.020449898	7.955431461	0.001782512	0.001802754	1.10807E-08	0.004405718	0.001772765	0.021535439	0.974058843	0.000457288
18	0.021652833	7.936604977	0.001779167	0.001800587	1.15716E-08	0.004215578	0.001768567	0.022472281	0.973312141	0.000437721
19	0.022855768	7.92794323	0.001775826	0.001798422	1.18047E-08	0.004130807	0.001765473	0.022916511	0.972952682	0.000429004
20	0.024058703	7.93025589	0.001772489	0.00179626	1.17421E-08	0.004153277	0.001763611	0.022797074	0.973049649	0.000431315
21	0.025261638	7.904266357	0.001769156	0.001794101	1.24662E-08	0.003907472	0.001758529	0.024174814	0.971917714	0.00040606
22	0.026464574	7.911402226	0.001765826	0.001791944	1.2263E-08	0.003973514	0.001757239	0.023788677	0.97223781	0.000412842
23	0.027667509	7.88745594	0.001762501	0.00178979	1.29582E-08	0.003756087	0.001752332	0.025108674	0.971135239	0.000390523
24	0.028870444	7.907180309	0.00175918	0.001787638	1.23828E-08	0.00393431	0.001752534	0.024016404	0.972049286	0.000408815
25	0.030073379	7.878352642	0.001755863	0.001785489	1.32327E-08	0.003676506	0.001747035	0.0256289	0.970694594	0.000382362
26	0.031276314	7.905039311	0.00175255	0.001783342	1.2444E-08	0.003914574	0.001748078	0.024132696	0.971952731	0.000406789
27	0.032479249	7.87091589	0.001749241	0.001781198	1.34612E-08	0.003612713	0.001741942	0.026061633	0.970325655	0.000375821
28	0.033682185	7.906043053	0.001745936	0.001779057	1.24153E-08	0.003923814	0.001743994	0.024078108	0.971998078	0.000407738
29	0.03488512	7.84223938	0.001742634	0.001776918	1.43801E-08	0.003376643	0.001734205	0.027797537	0.96882582	0.00035164
30	0.036088055	7.880182743	0.001739337	0.001774782	1.3177E-08	0.003692372	0.001736782	0.025523483	0.970784146	0.000383988
31	0.03729099	7.822394848	0.001736044	0.001772648	1.50524E-08	0.003222121	0.001727489	0.029063788	0.967714091	0.000335829
32	0.038493925	7.859036923	0.001732755	0.001770517	1.38345E-08	0.003513039	0.001730054	0.026767583	0.969719378	0.000365608
33	0.03969686	7.80670166	0.001729469	0.001768389	1.56062E-08	0.003104804	0.001721268	0.030104459	0.966790738	0.000323833
34	0.040899796	7.856173039	0.001726188	0.001766263	1.3926E-08	0.003489412	0.001725546	0.026940531	0.969570057	0.000363187
35	0.042102731	7.763500214	0.00172291	0.001764139	1.72385E-08	0.002802817	0.00171115	0.033158454	0.96403873	0.00029299
36	0.043305666	7.813109875	0.001719637	0.001762018	1.53777E-08	0.003152201	0.001715919	0.02967523	0.967172569	0.000328679
37	0.044508601	7.764097214	0.001716367	0.0017599	1.72148E-08	0.002806789	0.001707125	0.033114285	0.964078926	0.000293396
38	0.045711536	7.791781426	0.001713102	0.001757784	1.61517E-08	0.00299711	0.001708941	0.031127183	0.965875707	0.000312828
39	0.046914471	7.727935314	0.00170984	0.001755671	1.87096E-08	0.002575717	0.00169769	0.035894462	0.961529822	0.000269828
40	0.048117406	7.774279594	0.001706582	0.00175356	1.68159E-08	0.002875389	0.001702418	0.032369608	0.964755002	0.000300398
41	0.049320342	7.947324753	0.001703328	0.001751452	1.12895E-08	0.00432284	0.001721481	0.02193409	0.97374307	0.000448757
42	0.050523277	7.796029568	0.001700078	0.001749347	1.59945E-08	0.003027399	0.001701315	0.030832624	0.966139977	0.000315923
43	0.051726212	7.681764126	0.001696832	0.001747243	2.08083E-08	0.002307248	0.001682245	0.039770947	0.957921805	0.00024248
44	0.052929147	7.647600174	0.00169359	0.001745143	2.25113E-08	0.002126153	0.001674419	0.042893762	0.954980085	0.000224052
45	0.054132082	7.650022507	0.001690352	0.001743045	2.23861E-08	0.00213853	0.00167283	0.042664854	0.955196616	0.000225311
46	0.055335017	7.678267002	0.001687117	0.001740949	2.09765E-08	0.00228805	0.001675611	0.040080347	0.957631604	0.000240525
47	0.056537953	7.641285896	0.001683887	0.001738856	2.28409E-08	0.002094213	0.00166728	0.043495968	0.954409819	0.000220803
48	0.057740888	7.654950142	0.00168066	0.001736766	2.21335E-08	0.002163921	0.001667657	0.042202787	0.955633292	0.000227894
49	0.058943823	7.618035317	0.001677438	0.001734678	2.40971E-08	0.001980523	0.001659085	0.045783528	0.952235949	0.000209243
50	0.060146758	7.625676632	0.001674219	0.001732592	2.36768E-08	0.002017218	0.001658486	0.045019388	0.952963394	0.000212973
51	0.061349693	7.612841129	0.001671004	0.00173051	2.4387E-08	0.001955946	0.00165414	0.046309969	0.951734085	0.000206744
52	0.062552628	7.589967728	0.001667793	0.001728429	2.57059E-08	0.001851145	0.001647822	0.048697321	0.949451533	0.000196094
53	0.063755564	7.614430428	0.001664585	0.001726351	2.42979E-08	0.001963434	0.00165046	0.046148284	0.951888282	0.000207506
54	0.064958499	7.632722855	0.001661382	0.001724276	2.32958E-08	0.002051632	0.00165179	0.044325516	0.953622852	0.000216473
55	0.066161434	7.613224983	0.001658182	0.001722203	2.43655E-08	0.001957752	0.001646273	0.046270869	0.951771379	0.000206928
56	0.067364369	7.580834866	0.001654987	0.001720132	2.62522E-08	0.001810819	0.001638141	0.049682727	0.948506454	0.000191996
57	0.068567304	7.607524872	0.001651795	0.001718064	2.46874E-08	0.001931093	0.001641263	0.04685473	0.951214177	0.000204218
