Day fraction since midnight on 	t*	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	
0.623253075	0.00E+00	3.495324373	2.745930672	106596.3359	
0.623310855	1.25E-02	3.495278359	2.746014118	106582.5313	
0.623368777	2.51E-02	3.495270968	2.74602747	106591.0078	
dye added	#VALUE!				
0.623426634	3.77E-02	3.495137215	2.74627018	106577.3516	
0.623484565	5.02E-02	3.494814634	2.746855497	106579.7188	
0.623542408	6.28E-02	2.570211649	4.610294819	106580.2813	
0.62360029	7.53E-02	2.86639142	3.96892786	106569.7344	
0.623658089	8.79E-02	2.14851284	5.613535881	106574.5938	
0.623716015	1.00E-01	0.975361288	9.227423668	106576.9219	
0.623773814	1.13E-01	0.258243859	12.51405907	106572.7656	
0.623831687	1.26E-01	-0.745591819	21.45153236	106561.1641	
0.623889597	1.38E-01	-0.876134276	23.75945091	106564.2969	
0.623947536	1.51E-01	-1.07162416	29.03509712	106543.9219	
0.624005315	1.63E-01	-1.061532497	28.6686058	106561.6953	
0.62406325	1.76E-01	-1.04901731	28.23452377	106544.9766	
0.62412108	1.88E-01	-1.027400494	27.53221703	106538.3125	
0.624178923	2.01E-01	-1.010183215	27.01072502	106539.5625	
0.624236878	2.14E-01	-1.00654304	26.904356	106540.6719	
0.62429469	2.26E-01	-0.989803374	26.43126106	106539.1797	
0.624352552	2.39E-01	-0.979946792	26.16425896	106517.2734	
0.624410472	2.51E-01	-0.978572428	26.12767029	106529.5391	
0.624468261	2.64E-01	-0.972688794	25.97275162	106520.2969	
0.624526141	2.76E-01	-0.95954001	25.63618279	106536.0781	
0.62458405	2.89E-01	-0.94296068	25.22953606	106525.1563	
0.624641907	3.01E-01	-0.934214592	25.02243042	106505.0781	
0.624699852	3.14E-01	-0.925260782	24.81538391	106508.375	
0.6247577	3.27E-01	-0.916409195	24.61542892	106497.5156	
0.624815556	3.39E-01	-0.914856195	24.58081436	106498.9609	
0.62487337	3.52E-01	-0.916336775	24.61381149	106500.7656	
0.624931301	3.64E-01	-0.911014378	24.49577332	106507.9375	
0.62498912	3.77E-01	-0.904993951	24.36415672	106493.3203	
0.625047065	3.89E-01	-0.901152134	24.28119469	106491.7656	
0.625104891	4.02E-01	-0.875353038	23.74365234	106499.9531	
0.625162794	4.14E-01	-0.845712245	23.16442299	106476.3438	
0.625220653	4.27E-01	-0.842376053	23.10157585	106464.0234	
0.625278525	4.40E-01	-0.83077848	22.88656235	106470.2969	
0.625336359	4.52E-01	-0.814601421	22.59524345	106462.7656	
0.62539428	4.65E-01	-0.788495362	22.14474678	106454.2266	
0.625452132	4.77E-01	-0.770590961	21.84872246	106447.0547	
0.625509989	4.90E-01	-0.756862402	21.62836266	106447.9688	
0.6255678	5.02E-01	-0.728861034	21.19547844	106453.3125	
0.625625686	5.15E-01	-0.703034997	20.81443787	106451.0547	
0.625683605	5.27E-01	-0.692274392	20.66046524	106445.4453	
0.625741421	5.40E-01	-0.68551594	20.56513405	106462.1406	
0.625799281	5.53E-01	-0.666262209	20.29912758	106464.5156	
0.62585724	5.65E-01	-0.652191162	20.1097374	106465.5313	
0.625915099	5.78E-01	-0.640273392	19.95248795	106479.2734	
0.62597289	5.90E-01	-0.631956041	19.84440231	106469.2422	
0.626030804	6.03E-01	-0.615382016	19.63293839	106467.7578	
0.626088736	6.15E-01	-0.612981498	19.6027317	106483.8359	
