Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)
0.669375839	3.392126322	2.935197115	106482.3984
0.669433738	3.405206442	2.910979271	106475.1016
added dye			
0.66949158	3.306586027	3.095257044	106478.0625
0.66954949	1.48999083	7.455704689	106460.1875
0.669607308	1.983463407	6.039967537	106464.7344
0.669665244	1.229410172	8.307813644	106459.8828
0.669723049	0.709724546	10.30561733	106461.1719
0.669780909	0.57629621	10.90209198	106446.2188
0.669838778	0.500251472	11.2612524	106434.5547
0.669896712	0.329370856	12.12679863	106443.3906
0.669954549	0.253928989	12.5381155	106435.3438
0.67001248	0.136057675	13.22235489	106431.0078
0.670070298	0.128048569	13.27085686	106431.6484
0.670128159	0.12452665	13.29227066	106423.1641
0.670185982	0.081015691	13.56126213	106422.6406
0.670243872	0.081713878	13.55688	106411.8906
0.6703018	0.076425701	13.5901289	106400.4219
0.670359708	0.083048053	13.54851151	106394.3438
0.670417523	0.085104726	13.53562641	106405.8438
0.670475458	0.091322482	13.49678898	106381.7422
0.670533301	0.107501991	13.39653301	106388.0938
0.670591155	0.115298763	13.348629	106373.0859
0.670649006	0.141156152	13.19161892	106368.0781
0.670706852	0.151881322	13.12731552	106362.3281
0.670764736	0.170110643	13.01909733	106377.5234
0.6708226	0.209589183	12.78924274	106371.8047
0.670880457	0.233414397	12.65340424	106373.6484
0.670938403	0.243868768	12.59446144	106381.2578
0.670996218	0.26843816	12.45748711	106389.6875
0.671054064	0.283967078	12.37201023	106364.5547
0.671111988	0.306457669	12.24968338	106385.0547
0.671169852	0.345721364	12.04015827	106389.6875
0.671227661	0.364846349	11.93989754	106402.8281
0.671285616	0.3806054	11.85814095	106395.3906
0.671343504	0.419453889	11.65981483	106419.7813
0.6714013	0.445677847	11.5284462	106428.6563
0.671459248	0.107588165	13.39600182	106422.5078
0.671517097	0.287490994	12.3527298	106424.2656
0.671574958	0.556435585	10.99447536	106421.1172
0.671632804	0.572202086	10.92105675	106436.5547
0.671690647	0.591665268	10.83126926	106432.2734
0.671748546	0.607463241	10.75906372	106447.9297
0.671806458	0.631111145	10.65208721	106461.0625
0.671864317	0.667305827	10.49085426	106467.6016
0.671922127	0.687131167	10.40378952	106468.4609
0.67198007	0.707862079	10.31366825	106481.5234
0.67203791	0.732037544	10.20973778	106495.8672
0.672095748	0.742728889	10.16416836	106511.25
0.672153598	0.777108133	10.01922798	106491.8047
0.672211569	0.810155511	9.88214016	106504.4531
0.672269365	0.829345524	9.803514481	106518.0078
0.672327241	0.833509028	9.786549568	106505.7891
0.672385122	0.78493607	9.986560822	106505.7969
0.672443025	0.826549292	9.814927101	106526.6875
0.672500844	0.856998801	9.691447258	106525.6484
0.672558672	0.896218061	9.534939766	106533.9922
0.672616589	0.919459581	9.443502426	106544.7969
0.672674501	0.933607757	9.388305664	106532.2188
0.672732397	0.968026757	9.255470276	106558.6563
0.672790256	0.996230364	9.148112297	106546.4219
0.672848052	1.016521931	9.071681976	106565.8438
0.672905982	1.044872761	8.966006279	106569.1641
0.672963807	1.068594217	8.87856102	106573.0781
0.673021733	1.08860004	8.805488586	106580.8672
0.673079581	1.1165452	8.704432488	106585.4375
0.67313744	1.131001353	8.652612686	106577.2266
0.67319535	1.155662894	8.564914703	106595.3594
0.673253137	1.174184084	8.499629021	106597.5234
0.673311053	1.179576159	8.480712891	106595.1797
0.673368865	1.244492292	8.256155014	106596.1719
0.673426783	1.294514418	8.086982727	106619.8203
0.67348472	1.318152309	8.008170128	106619.2969
0.673542578	1.31007731	8.035013199	106626
0.6736004	1.347861886	7.910112858	106624.2813
