Day fraction since midnight on 	photometer (mg/L)	photometer (volts)	Source pressure (Pa)
0.583143244	20.68517494	-0.694014013	104142.75
0.583201155	20.57045746	-0.685895383	104142.75
0.583259055	20.74401474	-0.698136926	104142.75
0.583316894	20.97911644	-0.714335263	104142.75
0.583374754	20.82855988	-0.704012394	104142.75
dye added			
0.583432614	20.69356537	-0.694603682	104142.75
0.583490409	20.84865379	-0.705400407	104142.75
0.583548361	21.02266312	-0.717287898	104142.75
0.58360624	20.89667511	-0.70870477	104142.75
0.583664069	20.8087616	-0.702641606	104142.75
0.58372202	20.75787163	-0.699103773	104142.75
0.583779803	20.99419785	-0.715359449	104142.75
0.583837681	20.60357285	-0.688249946	104142.75
0.583895528	21.09125328	-0.721908689	104142.75
0.583953435	21.13341141	-0.724730849	104142.75
0.584011263	21.03587723	-0.718180955	104142.75
0.584069209	19.61648369	-0.614075422	104142.75
0.584127012	12.64426899	0.23503004	104142.75
0.584184975	20.20775604	-0.659511745	104142.75
0.58424277	10.34704971	0.700158358	104142.75
0.584300645	10.35470009	0.698396921	104142.75
0.584358538	10.37366009	0.694038093	104142.75
0.584416397	10.31561756	0.707411408	104142.75
0.584474228	10.30710411	0.709380508	104142.75
0.584532136	10.51900578	0.660937965	104142.75
0.58459002	10.86196899	0.58498776	104142.75
0.584647914	11.0027914	0.554657936	104142.75
0.584705756	11.09335804	0.53540951	104142.75
0.58476364	11.22581482	0.507615864	104142.75
0.584821494	11.42238998	0.467139423	104142.75
0.584879375	11.46802425	0.457872957	104142.75
0.584937264	11.44693756	0.462148696	104142.75
0.584995068	11.33555222	0.484907568	104142.75
0.585052952	11.40848064	0.469973534	104142.75
0.585110819	11.58502102	0.434335947	104142.75
0.585168767	11.65577984	0.420253575	104142.75
0.585226619	11.67112541	0.417214453	104142.75
0.585284456	11.64355564	0.422678113	104142.75
0.585342297	11.66243744	0.418934465	104142.75
0.585400235	11.72933102	0.405736148	104142.75
0.585458053	11.74499607	0.402660042	104142.75
0.585515988	11.77783012	0.39623028	104142.75
0.585573765	11.88612843	0.375193983	104142.75
0.585631715	12.03487682	0.346723437	104142.75
0.58568958	12.0858078	0.33708629	104142.75
0.585747457	12.21852303	0.312237293	104142.75
0.585805292	12.18358707	0.318741918	104142.75
0.585863161	12.20664406	0.314446062	104142.75
0.585921089	12.32403564	0.292749971	104142.75
0.585978969	12.29329109	0.298403829	104142.75
0.586036802	12.24278069	0.307736188	104142.75
0.586094612	12.26568127	0.303498358	104142.75
0.586152528	12.32509327	0.29255569	104142.75
0.58621039	12.54382992	0.252905607	104142.75
0.586268321	12.71643734	0.222312644	104142.75
0.586326076	12.67211246	0.230110958	104142.75
0.586384007	12.68917274	0.227104798	104142.75
0.586441865	12.8372097	0.201264471	104142.75
0.586499721	12.83591557	0.201488435	104142.75
0.586557583	12.94433403	0.182837457	104142.75
0.586615498	12.9543705	0.181122586	104142.75
0.586673364	12.94711304	0.182362422	104142.75
0.586731173	13.02565765	0.168999106	104142.75
0.586789058	13.02664661	0.168831646	104142.75
0.586846962	12.8967123	0.191001073	104142.75
0.586904851	12.95297623	0.181360662	104142.75
0.586962719	12.89206505	0.191800207	104142.75
0.587020629	13.04697704	0.165392712	104142.75
0.587078412	13.04204941	0.166225478	104142.75
0.587136311	13.09387302	0.157490537	104142.75
0.587194176	13.16103077	0.146248028	104142.75
0.587252078	13.13919067	0.14989461	104142.75
0.587309956	13.1076479	0.155177459	104142.75
0.587367852	12.9725914	0.178014442	104142.75
0.587425724	13.08230972	0.159434989	104142.75
0.587483509	13.06510353	0.16233331	104142.75
0.587541452	13.13675594	0.150301844	104142.75
0.587599284	13.13673019	0.150306001	104142.75
0.5876572	13.07373333	0.160878986	104142.75
0.587715045	13.06418228	0.162488535	104142.75
0.587772856	13.00475121	0.172544286	104142.75
0.587830724	12.97565269	0.177492812	104142.75
0.587888655	12.90136337	0.190201819	104142.75
0.587946459	12.98259926	0.176310003	104142.75
0.58800433	13.05656528	0.163773462	104142.75
0.588062294	12.95298576	0.181359127	104142.75
0.588120074	12.85287571	0.198555514	104142.75
0.58817793	12.87961006	0.193943888	104142.75
0.588235809	12.9133091	0.188150987	104142.75
0.588293766	12.91716003	0.187490299	104142.75
0.588351625	12.87017345	0.195569962	104142.75
0.588409482	13.06461525	0.162415639	104142.75
0.588467333	12.93300438	0.18477568	104142.75
0.588525244	12.95039654	0.181801319	104142.75
0.588583052	13.00838852	0.171926975	104142.75
0.58864097	13.09727097	0.156919673	104142.75
0.588698769	13.05864716	0.163422287	104142.75
0.588756658	13.06590366	0.162198395	104142.75
0.588814583	12.98560905	0.17579785	104142.75
0.588872431	12.91754246	0.187424734	104142.75
0.588930321	12.82040882	0.20417504	104142.75
0.58898816	12.80589485	0.206694037	104142.75
0.589045994	12.8893671	0.192264244	104142.75
0.589103867	12.76440144	0.213918433	104142.75
0.589161784	12.81760406	0.204661548	104142.75
0.589219616	12.54785442	0.252185375	104142.75
0.589277473	12.55214024	0.251418889	104142.75
0.589335401	12.57408047	0.247500226	104142.75
0.589393277	12.54328632	0.253002942	104142.75
0.589451142	12.50140953	0.260517508	104142.75
0.589509078	12.44119644	0.271385998	104142.75
0.589566898	12.37083435	0.284181774	104142.75
0.58962477	12.26975346	0.302745879	104142.75
0.589682618	12.37741947	0.282979935	104142.75
0.589740438	12.36957455	0.284411788	104142.75
0.589798355	12.39444542	0.27987653	104142.75
0.589856185	12.3865509	0.281314701	104142.75
0.589914139	12.34434891	0.289025188	104142.75
0.589972025	12.35330009	0.287386745	104142.75
0.590029806	12.27655315	0.301490396	104142.75
0.590087699	12.32482815	0.292604476	104142.75
0.590145528	12.23506451	0.30916664	104142.75
0.590203464	12.32880211	0.291875064	104142.75
0.590261368	12.36222267	0.285755068	104142.75
0.590319189	12.42918301	0.273563355	104142.75
0.590377049	12.40109348	0.278666318	104142.75
0.590434944	12.4480648	0.270142466	104142.75
0.590492764	12.36246014	0.285711676	104142.75
0.590550659	12.29009056	0.298993528	104142.75
0.590608505	12.27280235	0.302182853	104142.75
0.590666442	12.27903843	0.301031619	104142.75
0.590724341	12.3029108	0.296632618	104142.75
0.590782138	12.29658985	0.29779622	104142.75
0.590840074	12.22274685	0.311452597	104142.75
0.590897913	12.30023479	0.297125161	104142.75
0.590955768	12.2681694	0.303038567	104142.75
0.591013585	12.24541283	0.307248473	104142.75
0.591071469	12.23810673	0.308602423	104142.75
0.591129427	12.06714725	0.340610623	104142.75
0.59118729	12.07123566	0.33983779	104142.75
0.591245093	11.95536613	0.361881226	104142.75
0.591302915	11.92886162	0.366965026	104142.75
0.591360899	11.96465778	0.360102832	104142.75
0.59141867	11.96681499	0.359690219	104142.75
0.591476582	11.93974972	0.36487475	104142.75
0.591534455	11.83664799	0.384772778	104142.75
0.591592275	11.80400181	0.391122609	104142.75
0.591650216	11.77306175	0.397162497	104142.75
0.591708038	11.68060303	0.415340334	104142.75
0.591765961	11.74480724	0.402697116	104142.75
0.591823853	11.86689377	0.378911197	104142.75
0.591881684	11.82241631	0.387537986	104142.75
0.591939541	11.72760677	0.406075031	104142.75
0.591997391	11.7031126	0.410896987	104142.75
0.592055344	11.6925602	0.412978619	104142.75
0.592113149	11.53950119	0.443455905	104142.75
0.592171066	11.39829922	0.472051024	104142.75
0.592228917	11.53906727	0.443542928	104142.75
0.592286802	11.51047707	0.449295878	104142.75
0.592344614	11.49536037	0.452345222	104142.75
0.592402484	11.43569946	0.464431763	104142.75
0.592460353	11.49090481	0.453244925	104142.75
0.592518224	11.51735783	0.447909504	104142.75
0.592576176	11.65488338	0.420431107	104142.75
0.59263399	11.5174799	0.447885066	104142.75
0.592691882	11.49047852	0.453331083	104142.75
0.592749737	11.45794106	0.459916294	104142.75
0.592807615	11.5509491	0.441157788	104142.75
0.592865444	11.47304249	0.456856728	104142.75
0.59292337	11.35810375	0.480276167	104142.75
0.592981228	11.44511318	0.462519258	104142.75
0.59303918	11.25800228	0.500925601	104142.75
0.59309694	11.28113174	0.496133149	104142.75
0.593154794	11.29730797	0.49278903	104142.75
0.593212759	11.28263664	0.495821923	104142.75
0.593270555	11.12825871	0.528045237	104142.75
0.593328468	11.1477499	0.523945212	104142.75
0.593386318	11.21215439	0.510462821	104142.75
0.593444168	11.10825539	0.532262564	104142.75
0.593502073	11.21586418	0.509689331	104142.75
0.593559952	11.12477016	0.528779984	104142.75
0.593609096	10.95894623	0.564048648	104142.75
0.593675637	11.01250172	0.552584708	104142.75
0.593733505	10.96670151	0.562384248	104142.75
0.593791377	11.05488396	0.543562174	104142.75
0.593849303	11.00572777	0.554030836	104142.75
0.593907179	10.94915295	0.566152632	104142.75
0.593965079	11.04722595	0.545189142	104142.75
0.594022881	10.91877365	0.57269448	104142.75
0.594080756	10.9521246	0.565514028	104142.75
