Day fraction since midnight on 	photometer (mg/L)	photometer (volts)	Source pressure (Pa)
0.603629389	3.071049213	3.319422722	104142.75
0.603687198	3.069787979	3.32009244	104142.75
0.603745026	3.07063961	3.31964016	104142.75
dye			
0.603802996	3.07542038	3.317102194	104142.75
0.603860799	3.117169619	3.294997215	104142.75
0.603918757	3.259018183	3.220679283	104142.75
0.603976595	3.371820688	3.162436962	104142.75
0.604034482	3.436089039	3.129589558	104142.75
0.604092329	3.580107451	3.056856155	104142.75
0.604150236	3.671509504	3.011315346	104142.75
0.604208054	3.716710806	2.988969803	104142.75
0.604265927	3.688209057	3.003046274	104142.75
0.604323845	3.699924707	2.99725461	104142.75
0.604381675	3.96326232	2.869106054	104142.75
0.60443951	4.092004776	2.807851791	104142.75
0.604497387	4.159965515	2.77587986	104142.75
0.604555318	4.103559971	2.802397966	104142.75
0.604613209	4.213157177	2.75102973	104142.75
0.604670977	4.571866989	2.587349892	104142.75
0.604728892	4.593889237	2.57751894	104142.75
0.604786792	4.364701271	2.681056738	104142.75
0.6048446	4.380385399	2.673884153	104142.75
0.604902501	4.855941773	2.462424517	104142.75
0.604960381	5.033951283	2.386193514	104142.75
0.60501825	5.215124607	2.310190678	104142.75
0.605076168	5.411417484	2.229609489	104142.75
0.605133971	5.294365406	2.277442455	104142.75
0.605191809	5.483342648	2.200534821	104142.75
0.605249758	5.623971462	2.144376516	104142.75
0.605307548	5.495394707	2.19568634	104142.75
0.605365494	5.483935356	2.200296164	104142.75
0.605423373	5.790920258	2.078873873	104142.75
0.605481203	5.873694897	2.046859741	104142.75
0.605539049	5.867983341	2.049058914	104142.75
0.605596974	6.037812233	1.984277487	104142.75
0.605654787	5.915373325	2.030854702	104142.75
0.605712661	5.80341053	2.074023724	104142.75
0.605770501	5.948204994	2.01830101	104142.75
0.605828495	6.07656908	1.969669819	104142.75
0.60588626	6.207589626	1.920765877	104142.75
0.605944195	6.304484367	1.885069609	104142.75
0.606002073	6.334011078	1.874270558	104142.75
0.606059927	6.314645767	1.881348968	104142.75
0.606117754	6.236458778	1.910088778	104142.75
0.606175656	6.311493397	1.882502794	104142.75
0.606233455	6.521978855	1.806375265	104142.75
0.606291352	6.535411835	1.801579118	104142.75
0.606349247	6.485007286	1.819614291	104142.75
0.606407137	6.649663448	1.761083365	104142.75
0.606465002	6.661423206	1.756945133	104142.75
0.606522912	6.787523747	1.712921381	104142.75
0.606580737	6.864249229	1.686445236	104142.75
0.606638554	6.918170452	1.667977572	104142.75
0.606696441	6.961317539	1.653281927	104142.75
0.606754404	6.955523014	1.655251265	104142.75
0.606812256	6.978688717	1.647385955	104142.75
0.606870099	7.006981373	1.637808204	104142.75
0.606928006	6.985327721	1.645135641	104142.75
0.606985885	6.948197842	1.65774262	104142.75
0.60704371	6.961402893	1.65325284	104142.75
0.607101622	6.973354816	1.649195075	104142.75
0.607159488	6.976934433	1.647980809	104142.75
0.607217275	6.949958324	1.657143712	104142.75
0.607275192	6.975230694	1.648558736	104142.75
0.607333108	6.999956608	1.64018333	104142.75
0.607390882	6.950227261	1.657052279	104142.75
0.607448791	6.902916431	1.673190355	104142.75
0.607506698	6.860773563	1.687639713	104142.75
0.607564527	6.788098812	1.712721944	104142.75
0.607622427	6.737526417	1.730300069	104142.75
0.607680325	6.78792429	1.712782502	104142.75
0.607738175	6.987184048	1.644506812	104142.75
0.607795999	6.96736002	1.651229739	104142.75
0.607853936	6.896760464	1.675296664	104142.75
0.607911806	6.93416214	1.662522316	104142.75
